address, lat_address;long_address, lat_nearby1;long_nearby2, lat_nearby2;long_nearby2, lat_nearby3;long_nearby3
555 W. Lake St.,41.93787872988775;-88.00291031599045,41.96469583041207;-87.98897852005211,41.932251;-87.9400855,41.93710903648292;-88.07795606556283
11750 South Palaski Road,41.67910169304596;-87.72018933312398,41.64277138037502;-87.73733675479889,41.66127053083133;-87.66131490468979,41.71943230117043;-87.77215312250954
1195 E. Vienna Street,37.46232350886342;-89.23027038574219,37.73602473049779;-89.18650774217625,37.31184510679485;-89.55276787606707,37.764053191326994;-89.33030256632264
322 W State Route 173,42.47049081195997;-88.09437820318635,42.40826086317455;-88.03142331546042,42.37929638645984;-88.09075185659822,42.568588712909616;-88.11290802399463
960 S State Route 59,41.97278942006361;-88.20758251446715,42.019814185836594;-88.20223597576842,41.94137199999999;-88.15278061226849,42.00995049608011;-88.14510753090164
134 South Randall Road,41.848315666570855;-88.33955118792225,41.898396061493436;-88.3353278785944,41.8034;-88.37249,41.8174;-88.2795
1140 S York Rd,41.932251;-87.9400855,41.90660523187531;-87.90644210835511,41.93787872988775;-88.00291031599045,41.96469583041207;-87.98897852005211
634 West Main Street,37.996454269770176;-88.92826153906753,37.89809875293721;-88.95006640167367,37.78693461599515;-89.02815923094755,37.99619588094881;-89.23604717566226
6956 Ogden Ave,41.82543206157541;-87.79701320221648,41.84729536054644;-87.81073410292761,41.792306778611646;-87.79567368331305,41.86447803374293;-87.8113706410204
171 E. McArthur Dr.,38.90187788430495;-90.06056883934434,38.86818883734238;-90.06734015702176,38.88348812253596;-90.12160553900853,38.889033388982156;-90.17642027651878
74 Stratford Dr.,41.951613180825404;-88.12001019716263,41.94137199999999;-88.15278061226849,41.93710903648292;-88.07795606556283,41.90223968514989;-88.08410651721974
444 N Bolingbrook Dr,41.710178163920204;-88.06827150290701,41.75156985037892;-88.01210204239544,41.6569227804983;-88.00165498403126,41.78638945332056;-88.07082304361757
50 W Dundee Road,42.139306301042375;-87.95981109725857,42.13991313016765;-87.91243672370916,42.13960830699689;-88.01524109830522,42.094717788641915;-87.95317505301682
1616 Camp Jackson Road,38.55325052216471;-90.16614058617051,38.61734712663865;-90.19370258787534,38.59357623672422;-90.24404172600953,38.59629939419671;-90.27061437072007
1501 River Oaks Dr,41.60062357979288;-87.56007655530993,41.62219612397146;-87.58490332964357,41.62992734935938;-87.50822981988524,41.56838673533433;-87.50853990020005
12716 Ashland Ave.,41.66127053083133;-87.66131490468979,41.67910169304596;-87.72018933312398,41.64277138037502;-87.73733675479889,41.721495915090145;-87.66450754836114
129 North Main Street,40.55787559454591;-90.03479019554106,40.55948797444369;-89.61923039987602,40.725839650272185;-89.63244102897988,40.77028396909345;-89.6572821162531
1410 East Main Street,37.73602473049779;-89.18650774217625,37.764053191326994;-89.33030256632264,37.78693461599515;-89.02815923094755,37.74205406205163;-88.96956264689432
660 Northwest Highway,42.217112724949345;-88.25541302879999,42.23441777097565;-88.33621770143509,42.1776572023178;-88.33470949533876,42.26017777677698;-88.15977669746962
2413 N 89th St,38.6114420134671;-90.04803909645571,38.59551236549604;-89.98568616812918,38.549910700142114;-90.03655582666397,38.65191351347791;-90.13140786019575
1077 W Broadway,38.52939462220783;-89.15126486680492,38.624705889810166;-88.96405309438705,38.313652305272484;-88.94309163093567,38.30133206713776;-88.90270829628291
120 Lincoln Ave,39.484077335078304;-88.17966169020463,39.4836008;-88.33129439999999,39.792081832280964;-88.2693656166143,39.41830411323393;-87.69666207847487
2235 State St.,37.9278939294654;-89.80501033977819,37.71132037336086;-89.89041976574204,38.14006275324775;-89.70296144485474,37.764053191326994;-89.33030256632264
201 S Halstead St.,41.52749513784631;-87.63523307368308,41.48403772544979;-87.70240634679789,41.467948815609525;-87.57564755932606,41.60042831870267;-87.69301687182633
444 Chicago Ridge Mall,41.71567814277641;-87.78261208259407,41.71943230117043;-87.77215312250954,41.68929221538116;-87.80838310718536,41.718514961113605;-87.83632099628454
604 N. 4th Street,40.91388510934232;-89.48952237781774,40.793344662329595;-89.60609378060326,40.77028396909345;-89.6572821162531,40.7053026089413;-89.44505631923676
2225 S Cicero Avenue,41.84951846839155;-87.74393592776505,41.86674715314521;-87.71031631627356,41.84800381723727;-87.68587729840073,41.82543206157541;-87.79701320221648
1001 Belt Line Rd.,38.69140246493201;-89.98514663062222,38.73344817763037;-89.91594336932394,38.750664530000186;-90.07257346810547,38.6114420134671;-90.04803909645571
200 Columbia Center,38.44643662631198;-90.2194704828137,38.47339552648474;-90.30502080917358,38.49757667152647;-90.29965393513967,38.357515842179154;-90.15448562806341
5611 S La Grange Rd,41.78832825319039;-87.86825188656755,41.783371;-87.907452,41.83431605652778;-87.90027786792962,41.792306778611646;-87.79567368331305
1818 Plainfield Rd,41.55574429936104;-88.12642561821463,41.57787387243042;-88.1601275950834,41.576227;-88.165562,41.51951354621406;-88.12499830130037
13745 S Cicero,41.64277138037502;-87.73733675479889,41.67910169304596;-87.72018933312398,41.60042831870267;-87.69301687182633,41.66127053083133;-87.66131490468979
23210 Volbrecht Rd,41.467948815609525;-87.57564755932606,41.4927199;-87.5044488,41.52749513784631;-87.63523307368308,41.46459328597798;-87.4709676904854
420 Virginia St,42.23441777097565;-88.33621770143509,42.1776572023178;-88.33470949533876,42.217112724949345;-88.25541302879999,42.31036604284584;-88.43329583110062
7419 S Cass Ave,41.75237693630584;-87.9733094573021,41.75156985037892;-88.01210204239544,41.8096881;-87.9768948,41.783371;-87.907452
1209 W Lincoln Hwy,41.93122582781383;-88.77646085429252,41.981432249074885;-88.70707093435858,41.93602901891111;-89.05350959755327,41.90434488408628;-88.47159026921122
2780 Division Street,41.28905866267255;-88.24442736807214,41.37861390785616;-88.42254728078842,41.45733344468111;-88.27192173154799,41.51951354621406;-88.12499830130037
1312 North Galena Avenue,41.8620802493489;-89.49804065516219,41.788945512505826;-89.69694583251564,41.93602901891111;-89.05350959755327,42.274039078683984;-89.63195882275619
1323 Sibley Boulevard,41.62219612397146;-87.58490332964357,41.60062357979288;-87.56007655530993,41.62992734935938;-87.50822981988524,41.66127053083133;-87.66131490468979
7451 Lemont Rd,41.75156985037892;-88.01210204239544,41.75237693630584;-87.9733094573021,41.78638945332056;-88.07082304361757,41.710178163920204;-88.06827150290701
31 Southtowne Shopping Center,37.99619588094881;-89.23604717566226,37.996454269770176;-88.92826153906753,37.764053191326994;-89.33030256632264,37.89809875293721;-88.95006640167367
101 Niagara St.,38.88348812253596;-90.12160553900853,38.889033388982156;-90.17642027651878,38.86818883734238;-90.06734015702176,38.90187788430495;-90.06056883934434
108 W Camp St,40.66986067406411;-89.57826554775232,40.709074297509304;-89.59449827671057,40.725839650272185;-89.63244102897988,40.62530069433705;-89.46511656045914
699 State Route 203,38.65191351347791;-90.13140786019575,38.70269790670923;-90.14339922200479,38.61734712663865;-90.19370258787534,38.6114420134671;-90.04803909645571
1710 Troy Rd,38.79278268227334;-89.95086228402269,38.73344817763037;-89.91594336932394,38.750664530000186;-90.07257346810547,38.69140246493201;-89.98514663062222
1201 N Keller,39.13686143103321;-88.56506643583998,39.40621680347352;-88.80483875536628,39.4836008;-88.33129439999999,39.484077335078304;-88.17966169020463
1075 N Main Street,41.90434488408628;-88.47159026921122,41.898396061493436;-88.3353278785944,41.848315666570855;-88.33955118792225,41.9771073510313;-88.3414158015512
6599 N Illinois St.,38.59551236549604;-89.98568616812918,38.592102021459645;-89.95108206690104,38.5729136;-89.9315993,38.6114420134671;-90.04803909645571
1442 Worthey Street,38.680872923013354;-88.49730439343303,38.73166725948719;-88.07678460351212,38.624705889810166;-88.96405309438705,39.13686143103321;-88.56506643583998
1400 Hickory Point Drive,39.915911256971334;-88.9559568464756,39.87651629080114;-88.94797674845444,39.818315573237214;-88.87881763284895,39.555176029271095;-89.29705314339571
54 S US Highway 12,42.39295289953766;-88.18411019135986,42.37929638645984;-88.09075185659822,42.3456536208302;-88.27804996515624,42.47049081195997;-88.09437820318635
20160 LaGrange Rd.,41.5235499;-87.8506399,41.54604572788319;-87.79340699315071,41.60073396103226;-87.84643827821128,41.619532771711306;-87.84852094965076
2721 Rose Street,41.928346754216264;-87.86439970135694,41.90869910461482;-87.84426663817612,41.90660523187531;-87.90644210835511,41.94361547544458;-87.80670028425531
1882 S West Avenue,42.274039078683984;-89.63195882275619,42.278564326664075;-89.24242191022131,42.603139974262284;-89.66457934403822,42.28815663579016;-89.09907911719529
370 Roosevelt Road,41.85959810478771;-88.07354176876206,41.82956694614478;-88.09876113566091,41.90223968514989;-88.08410651721974,41.86008552256605;-87.98115358509682
1757 Waukegan,42.08698485402113;-87.7977128835537,42.06056872214917;-87.84452317049727,42.042434;-87.799546,42.032261107764384;-87.74688810110098
115 S. State Route 83,42.341768213834754;-88.03273473681656,42.37929638645984;-88.09075185659822,42.27607779611406;-88.04039075033876,42.40826086317455;-88.03142331546042
540 Cluverius Avenue - Bldg 400,42.3204620161733;-87.84043250019494,42.318737917884675;-87.86658395828454,42.34981248851059;-87.87064678969722,42.2529803750236;-87.90186483286156
1607 South Route 127,38.877352444612676;-89.39119787502217,38.96903264029353;-89.12936259807793,38.748933340530755;-89.67584967613215,39.17907772535605;-89.66837421037731
6360 Grand Ave,42.38568450837375;-87.9592042468585,42.40826086317455;-88.03142331546042,42.341768213834754;-88.03273473681656,42.34981248851059;-87.87064678969722
712 S. Commercial St.,37.727895324444226;-88.53629031201147,37.73118257734578;-88.93609250351335,37.74205406205163;-88.96956264689432,37.89809875293721;-88.95006640167367
325 S Division St,42.41163549246865;-88.61416080597337,42.31036604284584;-88.43329583110062,42.23915001135752;-88.5837598760207,42.62713199347378;-88.62186498742057
5050 N. Harlem Ave,41.97223363460947;-87.80749245161358,41.94361547544458;-87.80670028425531,41.992027616028594;-87.86293915939495,42.01839337434631;-87.80624091415292
1709 S Park Ave,37.78693461599515;-89.02815923094755,37.74205406205163;-88.96956264689432,37.73118257734578;-88.93609250351335,37.89809875293721;-88.95006640167367
8760 W 95th Street,41.718514961113605;-87.83632099628454,41.68929221538116;-87.80838310718536,41.71567814277641;-87.78261208259407,41.71943230117043;-87.77215312250954
1305 Mercantile Drive,38.748933340530755;-89.67584967613215,38.73344817763037;-89.91594336932394,38.79278268227334;-89.95086228402269,38.69140246493201;-89.98514663062222
2566 Skokie Valley Rd,42.199009194733705;-87.83280287684647,42.2529803750236;-87.90186483286156,42.13991313016765;-87.91243672370916,42.243435;-87.949649
I 294 Milepost 25,41.783371;-87.907452,41.78832825319039;-87.86825188656755,41.83431605652778;-87.90027786792962,41.75237693630584;-87.9733094573021
14348 S. Bell Road,41.6276142;-87.9318009,41.6569227804983;-88.00165498403126,41.619532771711306;-87.84852094965076,41.60073396103226;-87.84643827821128
13320 S Highway 47,42.13561700118749;-88.43202888965607,42.1776572023178;-88.33470949533876,42.104193363686704;-88.29152718191835,42.060564704857526;-88.31586494112344
837 W Morton,39.72287841158342;-90.2392532213782,39.76444848177882;-89.71098331307113,39.7579753;-89.6461262,39.71342708112174;-89.63630281762107
1400 S. State St.,39.10354468638638;-90.31481462723605,38.9230439728635;-90.18021210972422,38.889033388982156;-90.17642027651878,38.88348812253596;-90.12160553900853
2942 Riverstone Court,41.07861640512747;-87.86725719274727,41.15874989811457;-87.88639877738206,41.18678516222592;-87.85069763660425,41.24933685049473;-87.84809210796925
623 Tenney St,41.22321897881268;-89.92787767948357,40.94706207394775;-90.33823452425167,40.95741204331316;-90.38369961085664,40.91388510934232;-89.48952237781774
13783 West Oasis Service Road,42.2529803750236;-87.90186483286156,42.243435;-87.949649,42.29698063006278;-87.95606553554535,42.239322778359394;-87.99372491240774
231 N Randall Rd,42.1776572023178;-88.33470949533876,42.23441777097565;-88.33621770143509,42.217112724949345;-88.25541302879999,42.104193363686704;-88.29152718191835
801 W Main St,42.18998322676091;-88.10922233152951,42.26017777677698;-88.15977669746962,42.13960830699689;-88.01524109830522,42.1166295;-88.0342405
15663 127th Street,41.6569227804983;-88.00165498403126,41.6276142;-87.9318009,41.59835906925249;-88.02249833016049,41.710178163920204;-88.06827150290701
1308 N Milwaukee Ave,42.29698063006278;-87.95606553554535,42.243435;-87.949649,42.2529803750236;-87.90186483286156,42.239322778359394;-87.99372491240774
2081 East Grand Avenue,42.40826086317455;-88.03142331546042,42.37929638645984;-88.09075185659822,42.38568450837375;-87.9592042468585,42.341768213834754;-88.03273473681656
1015 Maple Avenue,41.78638945332056;-88.07082304361757,41.82956694614478;-88.09876113566091,41.75156985037892;-88.01210204239544,41.85959810478771;-88.07354176876206
1201 W Weir St,39.17907772535605;-89.66837421037731,38.877352444612676;-89.39119787502217,38.90187788430495;-90.06056883934434,38.748933340530755;-89.67584967613215
16616 W. 159th Street,41.59835906925249;-88.02249833016049,41.6569227804983;-88.00165498403126,41.6276142;-87.9318009,41.6216635;-88.1243821
1297 West Lane Rd.,42.365058610873376;-89.03313969077317,42.31746535238705;-89.03422667648101,42.31931421376274;-88.9793781441466,42.28815663579016;-89.09907911719529
420 West Jackson,40.45912778930967;-90.67748503846553,40.92604600190214;-90.64926087856293,40.55787559454591;-90.03479019554106,40.82547053540201;-91.14084541797638
195 South Creek Drive,41.24933685049473;-87.84809210796925,41.18678516222592;-87.85069763660425,41.15874989811457;-87.88639877738206,41.07861640512747;-87.86725719274727
19800 US Route 20,42.23915001135752;-88.5837598760207,42.31036604284584;-88.43329583110062,42.13561700118749;-88.43202888965607,42.41163549246865;-88.61416080597337
2945 West 159th Street,41.60042831870267;-87.69301687182633,41.64277138037502;-87.73733675479889,41.66127053083133;-87.66131490468979,41.67910169304596;-87.72018933312398
107 W Trefz,39.41830411323393;-87.69666207847487,39.60344602191663;-87.68728784508916,39.42279287942577;-87.41551727056503,39.47107494881672;-87.4064065384267
105 Swords Drive,39.4836008;-88.33129439999999,39.484077335078304;-88.17966169020463,39.792081832280964;-88.2693656166143,39.40621680347352;-88.80483875536628
4112 W Elm St,42.3456536208302;-88.27804996515624,42.39295289953766;-88.18411019135986,42.23441777097565;-88.33621770143509,42.31036604284584;-88.43329583110062
825 W North Ave,41.90869910461482;-87.84426663817612,41.928346754216264;-87.86439970135694,41.883565900202534;-87.80529810491863,41.92421252969922;-87.79155367361068
